combo_index,ATE_hat_SDL,SE_SDL
0,0.0,0.0
1,-0.13378536701202393,0.008680165745317936
2,0.06568626314401627,0.00703271571546793
3,-0.07951533794403076,0.01555031817406416
4,0.6918172836303711,0.005882102530449629
5,0.562061607837677,0.007501615211367607
6,0.7432094216346741,0.00611942820250988
7,0.5992764830589294,0.01256650686264038
8,1.202934741973877,0.021029068157076836
9,1.096217155456543,0.01981150545179844
10,1.2601110935211182,0.01911512389779091
11,1.1374309062957764,0.019613835960626602
12,1.711323857307434,0.02270793356001377
13,1.6154053211212158,0.02152722328901291
14,1.7577391862869263,0.020915063098073006
15,1.6463844776153564,0.020858092233538628
